Battery capacity (mAh),Screen size (inches),Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Price euro,Resolution ratio
4000,6.3,8,3000,32.0,48.0,13.0,111.13619039999999,2.1666666666666665
3500,6.3,8,4000,128.0,48.0,25.0,175.911024,2.3333333333333335
5000,6.65,8,8000,128.0,48.0,16.0,462.57275039999996,2.1666666666666665
4020,6.53,8,4000,128.0,16.0,16.0,154.066704,2.1666666666666665
3700,6.0,8,4000,64.0,12.2,8.0,449.7231504,2.0
4500,6.7,8,6000,128.0,32.0,32.0,286.53323040000004,2.2222222222222223
4000,6.39,8,6000,128.0,48.0,20.0,385.4751504,2.1666666666666665
3700,6.41,8,6000,128.0,48.0,16.0,385.4751504,2.1666666666666665
3550,6.2,8,6000,64.0,12.0,8.0,513.855504,2.0814814814814815
3700,6.39,8,6000,128.0,48.0,32.0,230.94586080000002,2.1666666666666665
4000,6.3,8,3000,32.0,12.0,13.0,124.6282704,2.1666666666666665
4000,6.26,8,2000,16.0,12.0,8.0,94.2132672,2.111111111111111
5000,6.3,8,3000,32.0,13.0,8.0,128.4831504,2.1666666666666665
5000,6.4,8,3000,32.0,13.0,16.0,122.0583504,2.1666666666666665
4000,6.4,8,6000,128.0,48.0,25.0,322.781952,2.138888888888889
5000,6.26,8,3000,32.0,12.0,13.0,154.1823504,2.111111111111111
3000,5.6,8,4000,64.0,12.2,8.0,398.32475039999997,2.0555555555555554
3500,6.3,8,3000,32.0,13.0,25.0,115.63355039999999,2.1666666666666665
3400,6.21,8,3000,32.0,13.0,24.0,102.7839504,2.1666666666666665
3500,6.18,8,4000,64.0,12.0,20.0,231.2928,2.077777777777778
3800,6.3,8,6000,128.0,24.0,24.0,282.6912,2.0555555555555554
3600,6.41,8,4000,64.0,16.0,25.0,128.367504,2.1666666666666665
3060,5.84,8,4000,64.0,12.0,8.0,152.91024000000002,2.111111111111111
3500,6.3,8,4000,64.0,16.0,16.0,151.239792,2.1666666666666665
3260,6.3,8,4000,64.0,13.0,16.0,211.889904,2.111111111111111
3300,6.0,8,4000,64.0,24.0,24.0,211.889904,2.0555555555555554
4000,6.26,8,4000,64.0,12.0,20.0,123.099168,2.111111111111111
3400,6.41,8,6000,64.0,12.0,25.0,192.615504,2.1666666666666665
3700,6.4,8,8000,128.0,12.0,25.0,273.68363039999997,2.1666666666666665
3060,5.86,8,3000,32.0,13.0,8.0,89.9343504,2.111111111111111
3750,6.5,8,4000,64.0,20.0,16.0,128.4831504,2.1666666666666665
4000,6.18,8,6000,64.0,12.0,20.0,192.615504,2.0796296296296295
3060,5.8,8,4000,64.0,16.0,16.0,115.63355039999999,2.111111111111111
4000,6.59,8,8000,128.0,12.0,8.0,385.4751504,2.1444444444444444
3730,6.42,8,8000,256.0,16.0,25.0,759.282864,2.1666666666666665
3750,6.3,8,4000,64.0,16.0,16.0,231.4341456,2.1666666666666665
3410,6.0,8,3000,32.0,13.0,8.0,132.3380304,2.0
3000,5.99,8,4000,64.0,12.0,20.0,115.51790399999999,2.0
3400,5.84,8,6000,128.0,16.0,24.0,218.31470399999998,2.111111111111111
3400,6.23,8,4000,64.0,16.0,25.0,244.013904,2.111111111111111
3200,6.28,8,6000,64.0,12.0,12.0,235.01918400000002,2.111111111111111
3260,5.5,8,6000,128.0,12.0,5.0,179.8815504,1.7777777777777777
4000,5.65,8,3000,32.0,13.0,20.0,128.4831504,2.0
3000,5.5,8,3000,32.0,16.0,8.0,113.7061104,1.7777777777777777
3750,5.99,8,6000,128.0,16.0,13.0,204.29579040000002,2.0
4350,5.98,8,6000,128.0,12.0,16.0,204.30864,1.7777777777777777
3200,6.0,8,4000,32.0,16.0,20.0,134.9079504,2.0
3300,6.01,8,6000,64.0,16.0,16.0,366.2007504,2.0
3340,5.9,8,4000,64.0,16.0,16.0,115.63355039999999,2.0
3400,5.99,8,6000,64.0,12.0,5.0,385.4751504,2.0
4000,5.2,8,3000,32.0,13.0,8.0,89.818704,1.7777777777777777
3080,5.5,8,4000,32.0,12.0,5.0,128.4831504,1.7777777777777777
2700,5.2,8,4000,32.0,19.0,13.0,449.607504,1.7777777777777777
